Номер заказа;Номер отправления;Принят в обработку;Дата отгрузки;Статус;Дата доставки;Фактическая дата передачи в доставку;Сумма отправления;Наименование товара;OZON id;Количество
64137100-0031;64137100-0031-1;31.07.2025 20:56;01.08.2025 21:00;Доставлен;04.08.2025 09:37;02.08.2025 01:41;2139;Худи VK Персик комикс, черное (VMS-SW-006-800), XS;1778100178;1
0111097639-0460;0111097639-0460-1;31.07.2025 20:55;01.08.2025 00:00;Отменён;;01.08.2025 00:46;997;Носки VK Fest, фиолетовые (VKF-SC-018-999), 40-42;2243577997;1
62239413-0170;62239413-0170-1;31.07.2025 20:28;01.08.2025 01:00;Доставлен;02.08.2025 14:55;01.08.2025 00:41;2139;Худи VK Персик комикс, черное (VMS-SW-006-800), XL;1778100223;1
62239413-0169;62239413-0169-1;31.07.2025 20:17;01.08.2025 14:00;Доставлен;04.08.2025 12:29;01.08.2025 16:00;1145;Футболка, цвет экрю, Персик комикс (VMS-TS-014-100), L;1768353229;1
67316065-0807;67316065-0807-1;31.07.2025 19:51;03.08.2025 08:30;Доставляется;;03.08.2025 04:29;1245;Футболка Дигги 3D, Голубой (V3D-TS-001-200), XL;1768353185;1
30890338-0197;30890338-0197-2;31.07.2025 19:48;02.08.2025 00:00;Доставлен;02.08.2025 13:58;01.08.2025 21:01;688;Обложка на паспорт VK Персик (Крик);1768141595;1
31776062-0152;31776062-0152-1;31.07.2025 19:47;01.08.2025 07:00;Доставляется;;01.08.2025 09:23;688;Обложка на паспорт VK Персик (Крик);1768141595;1
45114547-0043;45114547-0043-1;31.07.2025 19:44;01.08.2025 00:00;Доставлен;04.08.2025 16:55;01.08.2025 01:45;2394;Футболка VK КСТАТИ белая (TS-VKVID-002-100), S;1840832945;1
82726497-0018;82726497-0018-1;31.07.2025 18:59;01.08.2025 01:30;Доставлен;01.08.2025 15:57;01.08.2025 02:36;1767;Мягкая игрушка VK Персик;1768224495;1
73686756-0030;73686756-0030-2;31.07.2025 17:54;01.08.2025 08:00;Доставляется;;01.08.2025 08:52;429;Значок VK Спотти, металлический;1769215949;1
73686756-0030;73686756-0030-1;31.07.2025 17:54;02.08.2025 08:00;Доставлен;04.08.2025 16:19;02.08.2025 08:43;345;Носки с Бака Акио, белые (VMS-SC-015-100), 41-44;1769119459;1
36280246-0030;36280246-0030-3;31.07.2025 17:21;01.08.2025 00:00;Доставляется;;01.08.2025 01:42;345;Носки с МиуМяу, белые (VMS-SC-016-100), 41-44;1769119427;1
36280246-0030;36280246-0030-1;31.07.2025 17:21;01.08.2025 00:00;Доставляется;;01.08.2025 01:42;345;Носки с Бака Акио, белые (VMS-SC-015-100), 41-44;1769119459;1
36562180-0068;36562180-0068-1;31.07.2025 15:07;02.08.2025 00:00;Доставляется;;01.08.2025 13:59;981;Мягкая игрушка VK Хоппер, малая;1768224467;1
39979119-0061;39979119-0061-1;31.07.2025 14:11;02.08.2025 00:00;Доставлен;02.08.2025 12:34;01.08.2025 19:48;295;Стикеры VK Спотти А5;1775029411;1
17419688-0119;17419688-0119-1;31.07.2025 13:33;04.08.2025 00:00;Доставлен;04.08.2025 09:36;03.08.2025 16:15;8695;Худи RNDM CREW х VK Музыка, цвет розовый с черным принтом (VLM-SW-001-400), M;1787540742;1
94830252-0246;94830252-0246-1;31.07.2025 11:40;01.08.2025 04:00;Доставлен;02.08.2025 14:27;01.08.2025 05:41;1245;Футболка Дигги 3D, Голубой (V3D-TS-001-200), XS;1768353251;1
0113258012-0068;0113258012-0068-3;31.07.2025 11:14;02.08.2025 04:00;Доставляется;;01.08.2025 18:22;262;Стикеры VK Супчик;1775029429;1
0113258012-0068;0113258012-0068-1;31.07.2025 11:14;02.08.2025 04:00;Доставляется;;01.08.2025 18:22;292;Стикерпак VK Спотти;1775029418;1
31768002-0048;31768002-0048-2;31.07.2025 09:57;01.08.2025 08:00;Доставляется;;01.08.2025 09:55;2394;Футболка VK НАТАЛЬНАЯ КАРТА Шар белая (ST-VKNCB-004-100), XS;1840830655;1
16195377-0186;16195377-0186-1;31.07.2025 05:42;01.08.2025 04:00;Доставляется;;01.08.2025 05:20;1095;Футболка, цвет голубой, Персик комикс (VMS-TS-015-200), XL;1768353194;1
0135788038-0002;0135788038-0002-3;30.07.2025 23:12;31.07.2025 13:30;Доставляется;;31.07.2025 15:06;474;Стикерпак VK Fest, смоляной;2241616286;1
35724124-0030;35724124-0030-5;30.07.2025 21:41;02.08.2025 08:00;Доставляется;;31.07.2025 10:12;1686;Базовая кепка VK, синяя;1768142196;1
35724124-0030;35724124-0030-4;30.07.2025 21:41;04.08.2025 10:30;Доставляется;;04.08.2025 12:05;2226;Футболка VK НАТАЛЬНАЯ КАРТА белая (ST-VKNC-002-100), S;1840818695;1
35724124-0030;35724124-0030-3;30.07.2025 21:41;02.08.2025 08:00;Доставляется;;31.07.2025 10:12;2226;Футболка VK НАТАЛЬНАЯ КАРТА белая (ST-VKNC-002-100), S;1840818695;1
