Номер заказа;Номер отправления;Принят в обработку;Дата отгрузки;Статус;Дата доставки;Фактическая дата передачи в доставку;Сумма отправления;Наименование товара;OZON id;Количество
ORD00001;SHIP00001;2024-12-06 00:00:00;2024-12-06 00:00:00;Доставлен;2024-12-12 20:00:00;2024-12-06 20:00:00;36185.9;Колонка JBL Charge;OZ577486;1
ORD00002;SHIP00002;2024-11-13 00:00:00;2024-11-15 00:00:00;Доставлен;2024-11-16 16:00:00;2024-11-15 16:00:00;238143.53;Веб-камера Logitech C920;OZ366611;5
ORD00003;SHIP00003;2024-11-29 00:00:00;2024-12-01 00:00:00;В пути;;2024-12-01 22:00:00;34940.41;Кофемашина Delonghi;OZ535250;1
ORD00004;SHIP00004;2024-11-21 00:00:00;2024-11-23 00:00:00;В пути;;2024-11-23 03:00:00;15149.0;Игровая консоль PlayStation 5;OZ532929;3
ORD00005;SHIP00005;2024-11-27 00:00:00;2024-11-27 00:00:00;Доставлен;2024-12-01 11:00:00;2024-11-27 11:00:00;188604.9;Веб-камера Logitech C920;OZ661196;5
ORD00006;SHIP00006;2024-12-07 00:00:00;2024-12-08 00:00:00;Доставлен;2024-12-09 12:00:00;2024-12-08 12:00:00;40334.5;Холодильник Samsung;OZ982279;2
ORD00007;SHIP00007;2024-11-27 00:00:00;2024-11-27 00:00:00;Доставлен;2024-12-03 12:00:00;2024-11-27 12:00:00;57337.71;Кофемашина Delonghi;OZ307197;2
ORD00008;SHIP00008;2024-11-09 00:00:00;2024-11-09 00:00:00;В пути;;2024-11-09 16:00:00;133149.13;Игровая консоль PlayStation 5;OZ929446;3
ORD00009;SHIP00009;2024-11-19 00:00:00;2024-11-21 00:00:00;Доставлен;2024-11-28 19:00:00;2024-11-21 19:00:00;10835.62;Электробритва Philips;OZ785108;1
ORD00010;SHIP00010;2024-11-20 00:00:00;2024-11-20 00:00:00;Обрабатывается;;2024-11-20 11:00:00;34568.58;Монитор Dell UltraSharp;OZ518961;1
ORD00011;SHIP00011;2024-12-02 00:00:00;2024-12-04 00:00:00;Доставлен;2024-12-06 23:00:00;2024-12-04 23:00:00;117391.53;Роутер ASUS AX6000;OZ252483;4
ORD00012;SHIP00012;2024-11-25 00:00:00;2024-11-25 00:00:00;Доставлен;2024-12-02 10:00:00;2024-11-25 10:00:00;84620.25;Микрофон Blue Yeti;OZ570517;4
ORD00013;SHIP00013;2024-11-14 00:00:00;2024-11-14 00:00:00;Доставлен;2024-11-19 20:00:00;2024-11-14 20:00:00;115755.75;Смартфон Samsung Galaxy;OZ683885;3
ORD00014;SHIP00014;2024-11-27 00:00:00;2024-11-29 00:00:00;Доставлен;2024-12-05 11:00:00;2024-11-29 11:00:00;7112.69;Стиральная машина Bosch;OZ414685;2
ORD00015;SHIP00015;2024-11-16 00:00:00;2024-11-16 00:00:00;Доставлен;2024-11-23 10:00:00;2024-11-16 10:00:00;15742.28;Фитнес-браслет Xiaomi;OZ828638;2
ORD00016;SHIP00016;2024-11-27 00:00:00;2024-11-27 00:00:00;Доставлен;2024-12-03 08:00:00;2024-11-27 08:00:00;23844.09;Кофемашина Delonghi;OZ991912;4
ORD00017;SHIP00017;2024-11-30 00:00:00;2024-12-01 00:00:00;Доставлен;2024-12-06 14:00:00;2024-12-01 14:00:00;26121.49;Пылесос Dyson V15;OZ554163;3
ORD00018;SHIP00018;2024-11-29 00:00:00;2024-11-29 00:00:00;Доставлен;2024-12-01 18:00:00;2024-11-29 18:00:00;6954.21;Наушники Sony WH-1000XM4;OZ317419;1
ORD00019;SHIP00019;2024-11-13 00:00:00;2024-11-14 00:00:00;Отменен;;2024-11-14 04:00:00;32709.92;Зубная щетка Oral-B;OZ269405;1
ORD00020;SHIP00020;2024-11-12 00:00:00;2024-11-14 00:00:00;В пути;;2024-11-14 02:00:00;43512.49;Роутер ASUS AX6000;OZ840005;4
ORD00021;SHIP00021;2024-11-28 00:00:00;2024-11-30 00:00:00;Обрабатывается;;2024-11-30 10:00:00;286717.78;iPhone 15 Pro;OZ647344;4
ORD00022;SHIP00022;2024-11-12 00:00:00;2024-11-13 00:00:00;Доставлен;2024-11-15 00:00:00;2024-11-14 00:00:00;63070.34;Стиральная машина Bosch;OZ306485;2
ORD00023;SHIP00023;2024-11-30 00:00:00;2024-11-30 00:00:00;Доставлен;2024-12-05 04:00:00;2024-11-30 04:00:00;41729.09;Фен Dyson Supersonic;OZ264257;1
ORD00024;SHIP00024;2024-11-29 00:00:00;2024-11-30 00:00:00;Доставлен;2024-12-03 20:00:00;2024-11-30 20:00:00;12578.0;Пылесос Dyson V15;OZ263086;5
ORD00025;SHIP00025;2024-12-03 00:00:00;2024-12-05 00:00:00;Доставлен;2024-12-07 22:00:00;2024-12-05 22:00:00;41524.95;Фитнес-браслет Xiaomi;OZ680215;3
ORD00026;SHIP00026;2024-11-24 00:00:00;2024-11-25 00:00:00;Обрабатывается;;2024-11-25 03:00:00;22677.36;Клавиатура Logitech;OZ189142;1
ORD00027;SHIP00027;2024-12-05 00:00:00;2024-12-07 00:00:00;Доставлен;2024-12-09 13:00:00;2024-12-07 13:00:00;124893.84;Клавиатура Logitech;OZ890754;5
ORD00028;SHIP00028;2024-11-16 00:00:00;2024-11-17 00:00:00;В пути;;2024-11-17 03:00:00;14374.15;Зубная щетка Oral-B;OZ846238;2
ORD00029;SHIP00029;2024-12-06 00:00:00;2024-12-08 00:00:00;Доставлен;2024-12-13 15:00:00;2024-12-08 15:00:00;49409.58;Веб-камера Logitech C920;OZ894925;1
ORD00030;SHIP00030;2024-11-18 00:00:00;2024-11-19 00:00:00;Доставлен;2024-11-25 03:00:00;2024-11-19 03:00:00;57218.17;Монитор Dell UltraSharp;OZ939369;2
ORD00031;SHIP00031;2024-11-22 00:00:00;2024-11-23 00:00:00;В пути;;2024-11-23 23:00:00;6485.67;Принтер HP LaserJet;OZ903209;1
ORD00032;SHIP00032;2024-12-04 00:00:00;2024-12-05 00:00:00;Доставлен;2024-12-09 02:00:00;2024-12-05 02:00:00;28924.1;Игровая консоль PlayStation 5;OZ154755;1
ORD00033;SHIP00033;2024-11-11 00:00:00;2024-11-12 00:00:00;В пути;;2024-11-12 10:00:00;150252.26;iPhone 15 Pro;OZ545116;2
ORD00034;SHIP00034;2024-11-17 00:00:00;2024-11-19 00:00:00;Доставлен;2024-11-22 17:00:00;2024-11-19 17:00:00;160104.56;Планшет iPad Air;OZ498249;2
ORD00035;SHIP00035;2024-11-08 00:00:00;2024-11-10 00:00:00;Возвращен;;2024-11-10 02:00:00;17397.9;Игра Cyberpunk 2077;OZ658513;1
ORD00036;SHIP00036;2024-12-06 00:00:00;2024-12-06 00:00:00;Доставлен;2024-12-07 05:00:00;2024-12-06 05:00:00;78763.91;Телевизор LG OLED;OZ937847;1
ORD00037;SHIP00037;2024-11-30 00:00:00;2024-12-01 00:00:00;Отменен;;2024-12-01 11:00:00;90714.66;iPhone 15 Pro;OZ899307;3
ORD00038;SHIP00038;2024-11-11 00:00:00;2024-11-12 00:00:00;Доставлен;2024-11-15 12:00:00;2024-11-12 12:00:00;93823.08;Умные часы Apple Watch;OZ652180;2
